,phisical,status,private_score,public_score,rank,time
name,autoxing,autoxing,autoxing,autoxing,autoxing,autoxing
dataset,,,,,,
kaggle-allstate_claims,hdfs,success,1126.57408,1115.4252800000002,1.0,44023.36909675598
kaggle-amazon_employee,hdfs,success,0.90617,0.91214,51.0,6577.889317035675
kaggle-avazu,hdfs,success,0.3899,0.39205,1.0,18014.41471886635
kaggle-bike_sharing_demand,hdfs,success,,0.39913000000000004,1.0,15426.881854057312
kaggle-bio_response,hdfs,success,0.38059,0.41712,51.0,31064.05154776573
kaggle-box_office,hdfs,success,,2.0941799999999997,1.0,3435.4214079380035
kaggle-criteo,hdfs,failed,,,,
kaggle-dont_overfit,hdfs,success,0.855,0.872,51.0,196.0761206150055
kaggle-elo_merchant,hdfs,success,3.7221800000000003,3.8078199999999995,1.0,14384.092439889908
kaggle-facebook_human_robot,hdfs,success,0.91205,0.8839,51.0,1348.1911306381226
kaggle-get_kicked,hdfs,success,0.26103000000000004,0.25925,8.0,11850.41955947876
kaggle-give_me,hdfs,success,0.8689399999999999,0.8628100000000001,1.0,6054.9632477760315
kaggle-grocery_sales,hdfs,failed,,,,
kaggle-grupo_bimbo,hdfs,failed,,,,
kaggle-home_credit,hdfs,success,0.77693,0.77695,51.0,33160.654663324356
kaggle-homesite_quote,hdfs,success,0.9691299999999999,0.9693299999999999,17.0,164126.62316942215
kaggle-house_prices,hdfs,success,,0.12649000000000002,1.0,19118.108629465103
kaggle-how_rain,hdfs,failed,,,,
kaggle-ieee,hdfs,success,0.8748950000000001,0.9140280000000001,51.0,127815.80244398117
kaggle-kdd_cup_2014,hdfs,success,0.57645,0.5973,51.0,53680.48843550682
kaggle-kobe_bryant,hdfs,success,,0.5988,1.0,35.38997769355774
kaggle-liberty_mutual,hdfs,success,0.29104,0.28753,51.0,180.99511122703552
kaggle-loan_default,hdfs,success,1.18767,1.21374,1.0,100872.8952050209
kaggle-mercedes_benz,hdfs,success,0.55381,0.55624,51.0,39.4244909286499
kaggle-pubg_finish,hdfs,failed,,,,
kaggle-red_hat,hdfs,failed,,,,
kaggle-restaurant_revenue,hdfs,success,1835358.72556,1774396.0933599998,1.0,4086.953066587448
kaggle-restaurant_visitor,hdfs,failed,,,,
kaggle-rossmann_store_sales,hdfs,failed,,,,
kaggle-safe_driver,hdfs,success,0.29105,0.28567,2.0,2336.1762025356293
kaggle-santander_customer,hdfs,success,0.8269299999999999,0.8395299999999999,51.0,14530.050726652145
kaggle-santander_value,hdfs,failed,,,,
kaggle-sberbank_russian,hdfs,success,0.32985,0.32937,1.0,39422.74235892296
kaggle-social_network,hdfs,success,0.87721,0.87168,2.0,4294.6152675151825
kaggle-spring_leaf,hdfs,success,0.7922,0.79772,51.0,94302.25405430794
kaggle-store_sales,hdfs,failed,,,,
kaggle-stumble_upon,hdfs,success,0.8817200000000001,0.879,51.0,1818.8702313899994
kaggle-talking_data,hdfs,failed,,,,
kaggle-taxi_trip,hdfs,success,0.5835899999999999,0.5848800000000001,1.0,82228.85462141037
kaggle-tube_pricing,hdfs,failed,,,,
kaggle-walmart_sales,hdfs,failed,,,,
kaggle-west_nile,hdfs,success,0.71114,0.7256600000000001,51.0,2386.148917913437
